,title_2011,place_2011,title_2017,place_2017,sex,guid
138,Associate Professor,Rochester Institute of Technology,,,M,644fc395fd5d4dbcb25636a7d43ccb30
139,Full Professor,Indiana University,,,M,88d7f9e4f0d34b3da16877135ea14a7c
140,Associate Professor,University of Southern Mississippi,,,M,d840ac3f1ae54493834f245bd4c80c84
141,Assistant Professor,Missouri University of Science & Technology,,,M,de90da075be04484bd37b7ea763e9cca
142,Associate Professor,"University of Colorado, Boulder",,,M,9437d63e91c34e1ebe0c6b6d2679eb45
143,Associate Professor,Texas Tech University,,,M,3d90c71dea46455db0352452f24ed652
144,Full Professor,Wright State University,,,M,4f53a0cd91854aacb34fd058b58be513
145,Assistant Professor,Naval Postgraduate School,,,M,97fbb41b3aa049f9b9724f87b1a76863
146,Full Professor,University of Minnesota,,,M,e7e0f55a1a9e432ab5b27eac93df6a8f
147,Associate Professor,Duke University,,,M,638818b0df724bc2bde96b050460e278
148,Associate Professor,University of Rochester,,,M,9faa3907e4df430583ceb3b46466a7d8
149,Associate Professor,"University of Texas, Arlington",,,M,27826fad41b746b6911b76758833094f
150,Full Professor,Carnegie Mellon University,,,F,5a534d78f598409eb3a384bd3bbec9b5
151,Full Professor,University of Southern California,,,M,4ad23ca7fba0453abb75cde44074c955
152,Full Professor,Georgia Institute of Technology,,,M,3e8a730af78d4880b8da5613bcac278c
153,Associate Professor,"University of Alabama, Birmingham",,,M,9918647641ec4428b47917ef8aec3727
154,Full Professor,University of Hawaii,,,M,58382e0ecb564f25ac895e23d13466fc
155,Full Professor,University of Maine,,,M,3692c76a3e464d829281f7ad22173d44
156,Assistant Professor,University of Pennsylvania,,,M,de785114ac6c49038649500e6250ca8e
157,Associate Professor,Georgia Institute of Technology,,,M,8969caa46581464a80b4b85d17add42b
158,Associate Professor,Temple University,,,M,6126bd121bda41ee9fd93462fac22410
159,Full Professor,Southern Methodist University,,,M,b4f6f5a81db94d8f924801cd70c8f8b7
160,Associate Professor,Florida International University,,,M,27d29132d03f4859b333ea5421dfe475
161,Full Professor,University of Southern Mississippi,,,F,cb09ade50b8148e5bb055b10369e856e
